team            , session_title, player_name                   , position             , distance_km, sprint_distance_m, duration_min, distance_in_speed_zone_1_km, distance_in_speed_zone_2_km, distance_in_speed_zone_3_km, distance_in_speed_zone_4_km, distance_in_speed_zone_5_km, top_speed, distance_per_min, position_group
Lugazi FC       , MD21         , Ian Amanya                    , Attacking Midfielders,      3.9649,           207.68 ,  92.9       ,                      0.4739,                      1.8081,                      1.4753,                      0.1974, 0.0103                     ,   26.6082,      42.67922497, Attacking Midfielders
Lugazi FC       , MD21         , LUTAKOME JUMAH JUNIOR         , Forward              ,      4.5492,           353.175,  92.9       ,                      0.6035,                      2.398 ,                      1.1945,                      0.327 , 0.0262                     ,   29.2962,      48.96878364, Forward
Lugazi FC       , MD21         , OTHIENO JOSEPH                , Defenders            ,      9.3114,           567.194,  92.9       ,                      1.0075,                      4.8727,                      2.864 ,                      0.4957, 0.0715                     ,   30.8322,     100.2303552 , Defenders
Lugazi FC       , MD21         , Paul Wasswa                   , Wide Defenders       ,      9.2491,           429.926,  92.9       ,                      0.9987,                      4.9307,                      2.8899,                      0.4243, 0.0057                     ,   25.4242,      99.55974166, Wide Defenders
Lugazi FC       , MD21         , Sam Ssemugugu                 , Forward              ,      5.647 ,           796.345,  92.9       ,                      0.5801,                      2.6453,                      1.6252,                      0.5924, 0.2039                     ,   30.1842,      60.78579117, Forward
Lugazi FC       , MD21         , SSENOGA HUSSEIN               , Attacking Midfielders,      4.7991,           308.897,  92.9       ,                      0.4065,                      2.5666,                      1.517 ,                      0.3039, 0.005                      ,   25.3282,      51.65877287, Attacking Midfielders
Lugazi FC       , MD21         , Yusuf Sharif Saaka            , Wide Defenders       ,     10.0004,          1401.297,  92.9       ,                      1.0565,                      4.6273,                      2.9153,                      1.1899, 0.2113                     ,   32.2403,     107.6469322 , Wide Defenders
Lugazi FC       , MD22         , Abdul Kalanzi                 , Central Midfielders  ,     10.8779,           961.329,  97.9       ,                      0.6724,                      5.0108,                      4.2334,                      0.866 , 0.0953                     ,   30.6402,     111.1123596 , Central Midfielders
Lugazi FC       , MD22         , Ali Arshavin Bayo             , Central Midfielders  ,     11.5784,          1146.159,  97.9       ,                      0.7374,                      5.442 ,                      4.2529,                      1.0955, 0.0506                     ,   29.7922,     118.26762   , Central Midfielders
Lugazi FC       , MD22         , Ayiko Richard                 , Defenders            ,      9.9563,           598.08 ,  97.9       ,                      1.0103,                      5.483 ,                      2.865 ,                      0.5352, 0.0628                     ,   29.4082,     101.6986721 , Defenders
Lugazi FC       , MD22         , Derrick Mwanje                , Attacking Midfielders,      8.0303,           696.552,  97.9       ,                      0.5994,                      3.9845,                      2.7498,                      0.6548, 0.0417                     ,   29.0562,      82.02553626, Attacking Midfielders
Lugazi FC       , MD22         , Emmanuel Obua                 , Wide Defenders       ,     10.5976,          1132.724,  97.9       ,                      0.7933,                      5.3177,                      3.354 ,                      1.0339, 0.0989                     ,   30.1602,     108.2492339 , Wide Defenders
Lugazi FC       , MD22         , Freedom Mungudit              , Wide Midfielders     ,      9.4915,          1193.641,  97.9       ,                      1.1114,                      5.2985,                      1.8881,                      0.8265, 0.3671                     ,   34.5283,      96.95097038, Wide Midfielders
Lugazi FC       , MD22         , Ian Amanya                    , Attacking Midfielders,      4.4381,           421.139,  97.9       ,                      0.6145,                      1.9012,                      1.5012,                      0.4074, 0.0137                     ,   28.6402,      45.33299285, Attacking Midfielders
Lugazi FC       , MD22         , OTHIENO JOSEPH                , Defenders            ,      9.0982,           424.163,  97.9       ,                      1.1442,                      5.3277,                      2.2022,                      0.3868, 0.0373                     ,   27.8402,      92.93360572, Defenders
Lugazi FC       , MD22         , Paul Wasswa                   , Wide Defenders       ,      9.1992,           404.577,  97.9       ,                      1.1296,                      5.4363,                      2.2288,                      0.3669, 0.0376                     ,   26.6082,      93.96527068, Wide Defenders
Lugazi FC       , MD22         , Sam Ssemugugu                 , Forward              ,      2.3189,           127.585,  97.9       ,                      0.5258,                      1.0904,                      0.5751,                      0.1045, 0.0231                     ,   31.1203,      23.68641471, Forward
Lugazi FC       , MD22         , SSENOGA HUSSEIN               , Attacking Midfielders,      8.8026,           665.411,  97.9       ,                      0.7184,                      4.4707,                      2.9481,                      0.6266, 0.0388                     ,   26.4402,      89.91419816, Attacking Midfielders
Lugazi FC       , MD22         , Yusuf Sharif Saaka            , Wide Defenders       ,     11.0643,          1443.208,  97.9       ,                      0.9512,                      5.3617,                      3.3082,                      1.1583, 0.2849                     ,   30.7122,     113.0163432 , Wide Defenders
Lugazi FC       , MD23         , Abdul Kalanzi                 , Central Midfielders  ,      9.8877,          1060.964,  98.01666667,                      0.6142,                      4.3048,                      3.9078,                      1.0098, 0.0511                     ,   28.4642,     100.8777419 , Central Midfielders
Lugazi FC       , MD23         , Ali Arshavin Bayo             , Central Midfielders  ,     11.1081,          1098.709,  98.01666667,                      0.7601,                      4.8986,                      4.3506,                      1.0194, 0.0793                     ,   27.3922,     113.3286856 , Central Midfielders
Lugazi FC       , MD23         , Ayiko Richard                 , Defenders            ,      9.6335,           617.964,  98         ,                      0.9141,                      5.1537,                      2.9476,                      0.5576, 0.0604                     ,   30.0002,      98.30102041, Defenders
Lugazi FC       , MD23         , BROWN LUMUMBA NORMAN ELUZAI   , Wide Midfielders     ,      2.1343,           174.271,  98.01666667,                      0.3328,                      0.8345,                      0.7926,                      0.1743, 0                          ,   22.9442,      21.77486822, Wide Midfielders
Lugazi FC       , MD23         , Derrick Mwanje                , Attacking Midfielders,      5.6407,           405.549,  98.01666667,                      0.5191,                      2.6315,                      2.0846,                      0.376 , 0.0296                     ,   29.1842,      57.54837613, Attacking Midfielders
Lugazi FC       , MD23         , Emmanuel Obua                 , Wide Defenders       ,      8.4857,          1046.48 ,  98.01666667,                      0.7449,                      4.0474,                      2.6469,                      0.9682, 0.0783                     ,   30.4802,      86.57405203, Wide Defenders
Lugazi FC       , MD23         , Freedom Mungudit              , Wide Midfielders     ,      7.8564,           835.426,  98.01666667,                      1.1876,                      4.3603,                      1.4731,                      0.5774, 0.2579                     ,   33.3763,      80.15371535, Wide Midfielders
Lugazi FC       , MD23         , Moses Ojoaza Buga             , Wide Midfielders     ,      2.7211,           305.503,  98.01666667,                      0.391 ,                      1.1422,                      0.8824,                      0.2573, 0.0482                     ,   27.4082,      27.76160517, Wide Midfielders
Lugazi FC       , MD23         , Muhammed Gift Lubega          , Defenders            ,      6.0451,           935.086,  98.01666667,                      0.5187,                      2.3578,                      2.2335,                      0.828 , 0.1071                     ,   28.2722,      61.67420507, Defenders
Lugazi FC       , MD23         , OTHIENO JOSEPH                , Defenders            ,      9.1459,           530.063,  98.01666667,                      1.0056,                      4.8747,                      2.7356,                      0.4781, 0.0519                     ,   27.0562,      93.30964122, Defenders
Lugazi FC       , MD23         , Paul Wasswa                   , Wide Defenders       ,      8.9431,           434.817,  98.01666667,                      1.0969,                      5.0886,                      2.3229,                      0.3928, 0.042                      ,   28.9362,      91.24060534, Wide Defenders
Lugazi FC       , MD23         , Rogers Adriko                 , Attacking Midfielders,      5.2958,           324.707,  98.01666667,                      0.5581,                      2.7762,                      1.6369,                      0.3212, 0.0035                     ,   24.4962,      54.0295868 , Attacking Midfielders
Lugazi FC       , MD23         , Yusuf Sharif Saaka            , Wide Defenders       ,      9.8782,          1273.982,  98.01666667,                      0.9947,                      4.873 ,                      2.7364,                      0.9763, 0.2977                     ,   30.6882,     100.7808196 , Wide Defenders
Lugazi FC       , MD24         , Abdul Kalanzi                 , Central Midfielders  ,      8.2937,           675.897,  94.73333333,                      0.4457,                      3.5749,                      3.5972,                      0.6325, 0.0435                     ,   28.3922,      87.54785362, Central Midfielders
Lugazi FC       , MD24         , Ali Arshavin Bayo             , Central Midfielders  ,     10.2647,           793.868,  94.73333333,                      0.7514,                      5.1332,                      3.5864,                      0.6863, 0.1076                     ,   30.9762,     108.3536242 , Central Midfielders
Lugazi FC       , MD24         , AVEMAH SHAFIQ                 , Forward              ,      4.5645,           359.334,  94.73333333,                      0.4657,                      2.3612,                      1.3783,                      0.3099, 0.0495                     ,   29.0802,      48.18261787, Forward
Lugazi FC       , MD24         , Derrick Mwanje                , Attacking Midfielders,      8.4901,           501.988,  94.73333333,                      0.7082,                      4.39  ,                      2.8898,                      0.4763, 0.0257                     ,   27.7922,      89.62104152, Attacking Midfielders
Lugazi FC       , MD24         , Emmanuel Obua                 , Wide Defenders       ,     10.2944,          1014.881,  94.73333333,                      0.7886,                      5.5182,                      2.9726,                      0.9003, 0.1146                     ,   30.1762,     108.6671358 , Wide Defenders
Lugazi FC       , MD24         , Freedom Mungudit              , Wide Midfielders     ,      9.1343,           955.603,  94.73333333,                      0.9531,                      5.3027,                      1.9229,                      0.6691, 0.2865                     ,   34.0483,      96.42118227, Wide Midfielders
Lugazi FC       , MD24         , Muhammed Gift Lubega          , Defenders            ,      4.38  ,           196.713,  94.73333333,                      0.5049,                      2.0546,                      1.6238,                      0.1939, 0.0028                     ,   24.6002,      46.23504574, Defenders
Lugazi FC       , MD24         , OTHIENO JOSEPH                , Defenders            ,      8.2637,           339.922,  94.73333333,                      1.1345,                      4.821 ,                      1.9684,                      0.3234, 0.0165                     ,   26.4722,      87.23117523, Defenders
Lugazi FC       , MD24         , Rogers Adriko                 , Attacking Midfielders,      8.898 ,           419.078,  94.73333333,                      0.9874,                      5.281 ,                      2.2106,                      0.3555, 0.0636                     ,   30.2882,      93.9268121 , Attacking Midfielders
Lugazi FC       , MD24         , Yusuf Sharif Saaka            , Wide Defenders       ,      9.8611,          1192.481,  94.73333333,                      0.9523,                      4.9808,                      2.7355,                      1.0632, 0.1292                     ,   29.1922,     104.0932442 , Wide Defenders
Lugazi FC       , MD25         , Ali Arshavin Bayo             , Central Midfielders  ,     11.0775,           986.243,  95.08333333,                      0.7655,                      4.9869,                      4.3388,                      0.8873, 0.0989                     ,   28.4002,     116.5030675 , Central Midfielders
Lugazi FC       , MD25         , AVEMAH SHAFIQ                 , Forward              ,      7.724 ,           850.109,  95.06666667,                      0.5934,                      3.9084,                      2.3721,                      0.724 , 0.126                      ,   31.8643,      81.24824684, Forward
Lugazi FC       , MD25         , Ayiko Richard                 , Defenders            ,      9.0586,           574.77 ,  95.08333333,                      1.0202,                      5.0132,                      2.4505,                      0.5508, 0.0239                     ,   27.0962,      95.27011394, Defenders
Lugazi FC       , MD25         , Bashamu Mugwa                 , Forward              ,      3.6452,           446.466,  95.06666667,                      0.4224,                      1.8828,                      0.8936,                      0.4003, 0.0461                     ,   29.6962,      38.34361851, Forward
Lugazi FC       , MD25         , Birungi Alvin Twiine          , Forward              ,      3.654 ,           407.227,  95.08333333,                      0.4241,                      2.0128,                      0.8098,                      0.3581, 0.0492                     ,   27.3762,      38.42944785, Forward
